Duration: 58099 s 
Number of collocations: 754
(('fire_station', 'social_facility'), 0.018518518518518517)
(('pharmacy', 'fire_station'), 0.018518518518518517)
(('police', 'fire_station'), 0.018518518518518517)
(('restaurant', 'dojo'), 0.0175)
(('fire_station', 'bank'), 0.01639344262295082)
(('veterinary', 'bank'), 0.01639344262295082)
(('waste_disposal', 'bank'), 0.01639344262295082)
(('bank', 'fountain'), 0.01639344262295082)
(('fire_station', 'bicycle_parking'), 0.01639344262295082)
(('bicycle_parking', 'events_venue'), 0.01639344262295082)
(('drinking_water', 'bank'), 0.01639344262295082)
(('hospital', 'bank'), 0.01639344262295082)
(('vending_machine', 'bicycle_parking'), 0.01639344262295082)
(('townhall', 'bicycle_parking'), 0.01639344262295082)
(('police', 'bank'), 0.01639344262295082)
(('picnic_area', 'bank'), 0.01639344262295082)
(('public_bookcase', 'bank'), 0.01639344262295082)
(('bank', 'ice_cream'), 0.01639344262295082)
(('bank', 'bus_station'), 0.01639344262295082)
(('marketplace', 'bicycle_parking'), 0.01639344262295082)
(('bank', 'clinic'), 0.01639344262295082)
(('post_office', 'bank'), 0.01639344262295082)
(('post_office', 'bicycle_parking'), 0.01639344262295082)
(('dentist', 'bicycle_parking'), 0.01639344262295082)
(('parking', 'pharmacy'), 0.016113744075829384)
(('community_centre', 'bench'), 0.015503875968992248)
(('studio', 'pharmacy'), 0.015384615384615385)
(('nightclub', 'pharmacy'), 0.015384615384615385)
(('pharmacy', 'sorority'), 0.015384615384615385)
(('events_venue', 'pharmacy'), 0.015384615384615385)
(('hospital', 'pharmacy'), 0.015384615384615385)
(('pharmacy', 'drinking_water'), 0.015384615384615385)
(('police', 'pharmacy'), 0.015384615384615385)
(('pharmacy', 'bus_station'), 0.015384615384615385)
(('picnic_area', 'pharmacy'), 0.015384615384615385)
(('public_bookcase', 'pharmacy'), 0.015384615384615385)
(('pharmacy', 'bicycle_repair_station'), 0.015384615384615385)
(('pharmacy', 'yes'), 0.015384615384615385)
(('cinema', 'pharmacy'), 0.015384615384615385)
(('rail', 'pharmacy'), 0.015384615384615385)
(('conference_centre', 'pharmacy'), 0.015384615384615385)
(('marketplace', 'pharmacy'), 0.015384615384615385)
(('pharmacy', 'community_centre'), 0.015384615384615385)
(('restaurant', 'fire_station'), 0.015)
(('restaurant', 'doctors'), 0.015)
(('nightclub', 'shelter'), 0.014598540145985401)
(('parking', 'bench'), 0.014533965244865719)
(('fuel', 'veterinary'), 0.014018691588785047)
(('fuel', 'bus_station'), 0.014018691588785047)
(('police', 'fuel'), 0.014018691588785047)
(('townhall', 'fuel'), 0.014018691588785047)
(('car_wash', 'fuel'), 0.014018691588785047)
(('fuel', 'bicycle_rental'), 0.014018691588785047)
(('fuel', 'bicycle_parking'), 0.014018691588785047)
(('fuel', 'shelter'), 0.014018691588785047)
(('fuel', 'dentist'), 0.014018691588785047)
(('parking', 'public_building'), 0.013902053712480253)
(('cafe', 'college'), 0.012987012987012988)
(('cafe', 'atm'), 0.012987012987012988)
(('cafe', 'doctors'), 0.012987012987012988)
(('drinking_water', 'cafe'), 0.012987012987012988)
(('cafe', 'university'), 0.012987012987012988)
(('cafe', 'telephone'), 0.012987012987012988)
(('cafe', 'waste_basket'), 0.012987012987012988)
(('food_court', 'cafe'), 0.012987012987012988)
(('townhall', 'cafe'), 0.012987012987012988)
(('cafe', 'shelter'), 0.012987012987012988)
(('car_wash', 'cafe'), 0.012987012987012988)
(('veterinary', 'cafe'), 0.012987012987012988)
(('animal_boarding', 'cafe'), 0.012987012987012988)
(('bus_station', 'fast_food'), 0.012903225806451613)
(('atm', 'fast_food'), 0.012903225806451613)
(('drinking_water', 'fast_food'), 0.012903225806451613)
(('events_venue', 'fast_food'), 0.012903225806451613)
(('fast_food', 'yes'), 0.012903225806451613)
(('police', 'fast_food'), 0.012903225806451613)
(('fast_food', 'parking_entrance'), 0.012903225806451613)
(('picnic_area', 'fast_food'), 0.012903225806451613)
(('ice_cream', 'fast_food'), 0.012903225806451613)
(('place_of_worship', 'bank'), 0.01287001287001287)
(('school', 'fuel'), 0.012836970474967908)
(('school', 'restaurant'), 0.012836970474967908)
