Duration: 919 s 
Number of collocations: 1489
(('outpost', 'outpost'), 1)
(('pub', 'charging_station'), 0.012145748987854251)
(('pub', 'doctors'), 0.012145748987854251)
(('pub', 'car_wash'), 0.012145748987854251)
(('post_box', 'pub'), 0.012145748987854251)
(('theatre', 'embassy'), 0.012048192771084338)
(('nightclub', 'theatre'), 0.012048192771084338)
(('theatre', 'stripclub'), 0.012048192771084338)
(('theatre', 'cinema'), 0.012048192771084338)
(('bicycle_parking', 'clock'), 0.011976047904191617)
(('bicycle_parking', 'school'), 0.011976047904191617)
(('community_centre', 'bicycle_parking'), 0.011976047904191617)
(('bicycle_parking', 'recycling'), 0.011976047904191617)
(('bicycle_parking', 'charging_station'), 0.011976047904191617)
(('school', 'kindergarten'), 0.011928429423459244)
(('atm', 'place_of_worship'), 0.01188707280832095)
(('atm', 'cinema'), 0.01188707280832095)
(('parking', 'pub'), 0.011797090051120724)
(('dentist', 'embassy'), 0.011764705882352941)
(('post_box', 'dentist'), 0.011764705882352941)
(('restaurant', 'embassy'), 0.011728395061728396)
(('recycling', 'fast_food'), 0.01167728237791932)
(('dentist', 'waste_basket'), 0.011541632316570486)
(('school', 'waste_disposal'), 0.011396011396011397)
(('pharmacy', 'library'), 0.011389521640091117)
(('bench', 'police'), 0.01122154536710484)
(('bench', 'drinking_water'), 0.01122154536710484)
(('parking_entrance', 'university'), 0.011049723756906077)
(('stripclub', 'parking_entrance'), 0.011049723756906077)
(('parking_entrance', 'post_office'), 0.011049723756906077)
(('parking', 'kindergarten'), 0.01101061738104601)
(('embassy', 'place_of_worship'), 0.010958904109589041)
(('bank', 'post_box'), 0.010848126232741617)
(('bureau_de_change', 'arts_centre'), 0.010752688172043012)
(('nightclub', 'bureau_de_change'), 0.010752688172043012)
(('bureau_de_change', 'hookah_lounge'), 0.010752688172043012)
(('money_transfer', 'bureau_de_change'), 0.010752688172043012)
(('bureau_de_change', 'stripclub'), 0.010752688172043012)
(('bureau_de_change', 'clock'), 0.010752688172043012)
(('bureau_de_change', 'kick-scooter_rental'), 0.010752688172043012)
(('doctors', 'bureau_de_change'), 0.010752688172043012)
(('vending_machine', 'doctors'), 0.0106951871657754)
(('car_wash', 'vending_machine'), 0.0106951871657754)
(('vending_machine', 'telephone'), 0.0106951871657754)
