Duration: 799 s 

Number of collocations: 2297

(('feeding_place', 'feeding_place'), 1)
(('police', 'clinic'), 0.04790419161676647)
(('clinic', 'embassy'), 0.04790419161676647)
(('waste_basket', 'shelter'), 0.04781533388293487)
(('training', 'hookah_lounge'), 0.047619047619047616)
(('childcare', 'hookah_lounge'), 0.047619047619047616)
(('stripclub', 'hookah_lounge'), 0.047619047619047616)
(('atm', 'school'), 0.0475482912332838)
(('atm', 'kindergarten'), 0.0475482912332838)
(('cafe', 'car_wash'), 0.04707170224411604)
(('dentist', 'post_box'), 0.047058823529411764)
(('training', 'parking_entrance'), 0.04696132596685083)
(('parking', 'pub'), 0.04679512386944554)
(('bicycle_rental', 'post_office'), 0.04666666666666667)
(('bureau_de_change', 'bicycle_rental'), 0.04666666666666667)
(('waste_disposal', 'post_office'), 0.04653371320037987)
(('police', 'telephone'), 0.046511627906976744)
(('kindergarten', 'bicycle_parking'), 0.04640718562874251)
(('bicycle_parking', 'hookah_lounge'), 0.04640718562874251)
(('toilets', 'bureau_de_change'), 0.046153846153846156)
(('police', 'vending_machine'), 0.045989304812834225)
(('bar', 'stripclub'), 0.04590163934426229)
(('fountain', 'bar'), 0.04590163934426229)
(('dentist', 'kindergarten'), 0.04572564612326044)
(('restaurant', 'school'), 0.04567901234567901)
(('fast_food', 'post_office'), 0.045647558386411886)
(('coworking_space', 'stripclub'), 0.045454545454545456)
(('food_court', 'studio'), 0.045454545454545456)
(('driving_school', 'security_booth'), 0.045454545454545456)
(('cafe', 'cinema'), 0.04542966611932129)
(('bank', 'university'), 0.045364891518737675)
(('pub', 'university'), 0.045081967213114756)
(('vending_machine', 'payment_terminal'), 0.044919786096256686)
(('hookah_lounge', 'community_centre'), 0.04477611940298507)
(('police', 'waste_disposal'), 0.0446343779677113)
(('fast_food', 'university'), 0.044585987261146494)
(('ice_cream', 'fountain'), 0.04455445544554455)
(('restaurant', 'embassy'), 0.044444444444444446)
(('social_facility', 'courthouse'), 0.044444444444444446)
(('veterinary', 'veterinary'), 0.044444444444444446)
(('police', 'dentist'), 0.04411764705882353)
(('training', 'clinic'), 0.043912175648702596)
(('taxi', 'telephone'), 0.043859649122807015)
(('embassy', 'place_of_worship'), 0.043835616438356165)
(('hookah_lounge', 'arts_centre'), 0.043478260869565216)
(('food_court', 'arts_centre'), 0.043478260869565216)
(('pharmacy', 'theatre'), 0.04328018223234624)
(('pharmacy', 'training'), 0.04328018223234624)
(('training', 'cafe'), 0.04324028461959496)
(('language_school', 'bureau_de_change'), 0.043010752688172046)
(('clock', 'bureau_de_change'), 0.043010752688172046)
(('bureau_de_change', 'hookah_lounge'), 0.043010752688172046)
(('waste_basket', 'place_of_worship'), 0.04286892003297609)
(('cafe', 'school'), 0.042692939244663386)
(('post_box', 'cinema'), 0.0425531914893617)
(('training', 'doctors'), 0.0425531914893617)
(('police', 'theatre'), 0.04216867469879518)
(('bureau_de_change', 'clinic'), 0.041916167664670656)
(('library', 'bicycle_parking'), 0.041916167664670656)
(('vending_machine', 'post_box'), 0.04171122994652406)
(('fountain', 'atm'), 0.041604754829123326)
(('parking_entrance', 'post_office'), 0.04143646408839779)
(('dentist', 'hookah_lounge'), 0.041176470588235294)
(('dentist', 'training'), 0.041176470588235294)
(('dentist', 'toilets'), 0.041025641025641026)
(('library', 'university'), 0.040983606557377046)
(('bench', 'school'), 0.04071817890349471)
(('bench', 'university'), 0.04071817890349471)
(('library', 'pub'), 0.04048582995951417)
(('embassy', 'pub'), 0.04048582995951417)
(('arts_centre', 'pub'), 0.04048582995951417)
(('pub', 'fountain'), 0.04048582995951417)
(('pub', 'food_court'), 0.04048582995951417)
(('bicycle_parking', 'recycling'), 0.040419161676646706)
(('bicycle_parking', 'payment_terminal'), 0.040419161676646706)
(('post_box', 'bicycle_parking'), 0.040419161676646706)
(('doctors', 'fast_food'), 0.040339702760084924)
(('school', 'university'), 0.04008438818565401)
(('bicycle_rental', 'clock'), 0.04)
(('language_school', 'security_booth'), 0.04)
(('language_school', 'taxi'), 0.04)
(('love_hotel', 'language_school'), 0.04)
(('post_box', 'cafe'), 0.039956212370005476)
(('clinic', 'library'), 0.03992015968063872)
(('hookah_lounge', 'clinic'), 0.03992015968063872)
(('post_office', 'kindergarten'), 0.039761431411530816)
(('music_school', 'training'), 0.039603960396039604)
(('waste_basket', 'theatre'), 0.03957131079967024)
(('bank', 'post_box'), 0.03944773175542406)
(('payment_terminal', 'bank'), 0.03944773175542406)
(('bar', 'car_wash'), 0.03934426229508197)
(('fast_food', 'car_wash'), 0.03927813163481953)
(('bicycle_parking', 'embassy'), 0.038922155688622756)
(('police', 'recycling'), 0.03875968992248062)
(('police', 'bureau_de_change'), 0.03875968992248062)
(('waste_basket', 'school'), 0.038746908491343775)
(('pharmacy', 'library'), 0.0387243735763098)
(('post_office', 'community_centre'), 0.03870967741935484)
(('post_office', 'toilets'), 0.038461538461538464)
(('language_school', 'music_school'), 0.038461538461538464)
(('music_school', 'arts_school'), 0.038461538461538464)
(('restaurant', 'kindergarten'), 0.03827160493827161)
(('fast_food', 'ice_cream'), 0.03821656050955414)
(('cinema', 'public_service'), 0.03773584905660377)
(('cinema', 'cinema'), 0.03773584905660377)
(('cinema', 'food_court'), 0.03773584905660377)
(('bicycle_parking', 'cinema'), 0.0374251497005988)
(('bicycle_parking', 'training'), 0.0374251497005988)
(('cafe', 'kindergarten'), 0.037219485495347565)
(('fast_food', 'food_court'), 0.037154989384288746)
(('fast_food', 'hookah_lounge'), 0.037154989384288746)
(('fast_food', 'device_charging_station'), 0.037154989384288746)
