Duration: 950 s 
Number of collocations: 3582
(('feeding_place', 'feeding_place'), 1)
(('cafe', 'telephone'), 0.21182266009852216)
(('place_of_worship', 'monastery'), 0.21095890410958903)
(('childcare', 'study'), 0.21052631578947367)
(('bench', 'post_office'), 0.21032382173773645)
(('fast_food', 'university'), 0.21019108280254778)
(('waste_disposal', 'pub'), 0.20987654320987653)
(('vending_machine', 'theatre'), 0.20962566844919786)
(('parking', 'bar'), 0.20959496657491153)
(('fast_food', 'theatre'), 0.2091295116772824)
(('parking', 'place_of_worship'), 0.20841525756979945)
(('ice_cream', 'ice_cream'), 0.20689655172413793)
(('marketplace', 'marketplace'), 0.20689655172413793)
(('bicycle_parking', 'doctors'), 0.20508982035928144)
(('restaurant', 'telephone'), 0.20493827160493827)
(('waste_basket', 'school'), 0.20464135021097046)
(('waste_basket', 'fountain'), 0.2044517724649629)
(('post_office', 'clinic'), 0.20359281437125748)
(('telephone', 'payment_terminal'), 0.20175438596491227)
(('theatre', 'police'), 0.20155038759689922)
(('telephone', 'bench'), 0.20134658544405257)
(('theatre', 'university'), 0.20081967213114754)
(('fast_food', 'car_wash'), 0.20063694267515925)
(('shower', 'dressing_room'), 0.2)
(('library', 'dentist'), 0.2)
(('shower', 'money_transfer'), 0.2)
(('police', 'clinic'), 0.1996007984031936)
(('pharmacy', 'police'), 0.19931662870159453)
(('car_wash', 'parking'), 0.19897758552890288)
(('telephone', 'doctors'), 0.19858156028368795)
(('school', 'university'), 0.19831223628691982)
(('training', 'hookah_lounge'), 0.19801980198019803)
(('university', 'waste_basket'), 0.19672131147540983)
(('police', 'vending_machine'), 0.19572192513368983)
(('vending_machine', 'doctors'), 0.19572192513368983)
(('car_wash', 'clinic'), 0.19560878243512975)
(('library', 'theatre'), 0.19548872180451127)
(('toilets', 'university'), 0.19487179487179487)
(('pharmacy', 'theatre'), 0.1947608200455581)
(('atm', 'fountain'), 0.19465081723625557)
(('arts_centre', 'pub'), 0.19433198380566802)
(('fast_food', 'cinema'), 0.1942675159235669)
(('car_wash', 'dentist'), 0.19411764705882353)
(('police', 'police'), 0.1937984496124031)
(('post_box', 'pharmacy'), 0.19362186788154898)
(('post_office', 'doctors'), 0.1935483870967742)
(('bicycle_parking', 'police'), 0.19311377245508982)
(('bicycle_parking', 'hookah_lounge'), 0.19311377245508982)
(('clock', 'telephone'), 0.19298245614035087)
(('place_of_worship', 'kindergarten'), 0.19284294234592445)
(('fountain', 'university'), 0.19262295081967212)
(('toilets', 'theatre'), 0.19230769230769232)
(('clinic', 'library'), 0.19161676646706588)
(('embassy', 'clinic'), 0.19161676646706588)
(('parking', 'university'), 0.19150609516319309)
(('post_box', 'bureau_de_change'), 0.19148936170212766)
(('pub', 'parking'), 0.19111285882815574)
(('bar', 'community_centre'), 0.1901639344262295)
(('bicycle_parking', 'embassy'), 0.19011976047904192)
(('bicycle_rental', 'doctors'), 0.19)
(('post_office', 'school'), 0.189873417721519)
(('pharmacy', 'library'), 0.18906605922551253)
(('place_of_worship', 'fountain'), 0.18904109589041096)
(('theatre', 'atm'), 0.1887072808320951)
(('theatre', 'fountain'), 0.18811881188118812)
(('waste_basket', 'doctors'), 0.18796372629843364)
(('restaurant', 'hookah_lounge'), 0.18703703703703703)
(('theatre', 'training'), 0.18674698795180722)
(('bicycle_rental', 'telephone'), 0.18666666666666668)
(('restaurant', 'nightclub'), 0.18580246913580248)
(('training', 'dentist'), 0.18529411764705883)
(('waste_basket', 'theatre'), 0.18466611706512778)
(('doctors', 'toilets'), 0.18461538461538463)
(('police', 'restaurant'), 0.1845679012345679)
(('doctors', 'hookah_lounge'), 0.18439716312056736)
(('bicycle_parking', 'bureau_de_change'), 0.18413173652694612)
(('bar', 'school'), 0.18354430379746836)
(('vending_machine', 'telephone'), 0.18288770053475936)
(('atm', 'bureau_de_change'), 0.1827637444279346)
(('fast_food', 'doctors'), 0.18259023354564755)
(('telephone', 'parking_entrance'), 0.18232044198895028)
(('bureau_de_change', 'parking_entrance'), 0.18232044198895028)
(('vending_machine', 'post_office'), 0.18181818181818182)
(('townhall', 'townhall'), 0.18181818181818182)
(('post_office', 'fast_food'), 0.18152866242038215)
(('waste_disposal', 'police'), 0.18138651471984804)
(('atm', 'doctors'), 0.1812778603268945)
(('library', 'kindergarten'), 0.18091451292246521)
(('telephone', 'post_office'), 0.18064516129032257)
(('fast_food', 'police'), 0.17940552016985137)
(('community_centre', 'hookah_lounge'), 0.1791044776119403)
(('university', 'kindergarten'), 0.17892644135188868)
(('fountain', 'bank'), 0.17850098619329388)
(('police', 'place_of_worship'), 0.1780821917808219)
(('embassy', 'place_of_worship'), 0.1780821917808219)
(('training', 'cafe'), 0.17788724685276408)
(('embassy', 'vending_machine'), 0.17754010695187167)
(('embassy', 'bank'), 0.17751479289940827)
(('bureau_de_change', 'doctors'), 0.1773049645390071)
(('police', 'kindergarten'), 0.17693836978131214)
(('waste_disposal', 'car_wash'), 0.17663817663817663)
(('cafe', 'hookah_lounge'), 0.17624521072796934)
(('cafe', 'police'), 0.17569786535303777)
(('training', 'clinic'), 0.17564870259481039)
(('stripclub', 'nightclub'), 0.17543859649122806)
(('arts_centre', 'nightclub'), 0.17543859649122806)
(('school', 'pub'), 0.1751054852320675)
(('bureau_de_change', 'theatre'), 0.1746987951807229)
(('police', 'bench'), 0.17441487656300098)
(('post_office', 'fountain'), 0.17419354838709677)
(('cafe', 'car_wash'), 0.17405582922824303)
(('arts_centre', 'hookah_lounge'), 0.17391304347826086)
(('bureau_de_change', 'bicycle_rental'), 0.17333333333333334)
(('toilets', 'kindergarten'), 0.17296222664015903)
(('atm', 'car_wash'), 0.1723625557206538)
(('restaurant', 'training'), 0.17222222222222222)
(('bicycle_parking', 'library'), 0.1721556886227545)
(('bureau_de_change', 'payment_terminal'), 0.17204301075268819)
(('bench', 'doctors'), 0.17184995190766272)
(('post_box', 'doctors'), 0.1702127659574468)
(('theatre', 'place_of_worship'), 0.16986301369863013)
(('parking_entrance', 'kindergarten'), 0.16898608349900596)
(('vending_machine', 'fountain'), 0.16898395721925133)
(('waste_basket', 'library'), 0.16817807089859851)
(('post_office', 'library'), 0.16774193548387098)
(('clinic', 'hospital'), 0.16766467065868262)
(('clinic', 'telephone'), 0.16766467065868262)
(('toilets', 'bureau_de_change'), 0.16666666666666666)
(('bank', 'post_box'), 0.16666666666666666)
(('toilets', 'police'), 0.16666666666666666)
(('study', 'security_booth'), 0.16666666666666666)
(('shower', 'boat_rental'), 0.16666666666666666)
(('ferry_terminal', 'ferry_terminal'), 0.16666666666666666)
(('ferry_terminal', 'rescue_station'), 0.16666666666666666)
(('money_transfer', 'security_booth'), 0.16666666666666666)
(('courthouse', 'courthouse'), 0.16666666666666666)
(('internet_cafe', 'security_booth'), 0.16666666666666666)
(('hookah_lounge', 'embassy'), 0.16551724137931034)
(('library', 'pub'), 0.16541353383458646)
(('waste_basket', 'car_wash'), 0.16488046166529266)
(('dentist', 'hookah_lounge'), 0.16470588235294117)
(('toilets', 'cinema'), 0.1641025641025641)
(('nightclub', 'cafe'), 0.16365626710454298)
(('theatre', 'hookah_lounge'), 0.16265060240963855)
(('nightclub', 'theatre'), 0.16265060240963855)
(('vending_machine', 'car_wash'), 0.1625668449197861)
(('cafe', 'embassy'), 0.1625615763546798)
(('police', 'school'), 0.16244725738396623)
(('post_office', 'parking'), 0.16240660637042864)
(('atm', 'cinema'), 0.16196136701337296)
(('dentist', 'bureau_de_change'), 0.16176470588235295)
(('pharmacy', 'fountain'), 0.16173120728929385)
