Duration: 216 s 

Number of collocations: 1488

(('payment_terminal', 'payment_terminal'), 1)
(('atm', 'car_wash'), 0.06037735849056604)
(('parking_entrance', 'pharmacy'), 0.05963302752293578)
(('kindergarten', 'waste_disposal'), 0.05955334987593052)
(('parking', 'post_office'), 0.05928984310487201)
(('police', 'restaurant'), 0.059154929577464786)
(('bicycle_repair_station', 'bicycle_parking'), 0.05898876404494382)
(('fast_food', 'community_centre'), 0.058823529411764705)
(('pharmacy', 'bench'), 0.05859375)
(('bank', 'waste_basket'), 0.05844155844155844)
(('cinema', 'bank'), 0.05844155844155844)
(('bank', 'clock'), 0.05844155844155844)
(('recycling', 'bank'), 0.05802047781569966)
(('fuel', 'vending_machine'), 0.05759162303664921)
(('university', 'vending_machine'), 0.05759162303664921)
(('pub', 'vending_machine'), 0.05759162303664921)
(('vending_machine', 'place_of_worship'), 0.05759162303664921)
(('atm', 'bar'), 0.05660377358490566)
(('atm', 'public_building'), 0.05660377358490566)
(('ice_cream', 'restaurant'), 0.056338028169014086)
(('taxi', 'doctors'), 0.056338028169014086)
(('taxi', 'bus_station'), 0.056338028169014086)
(('bicycle_parking', 'theatre'), 0.056179775280898875)
(('parking', 'cafe'), 0.055656482246077624)
(('fountain', 'fire_station'), 0.05555555555555555)
(('fountain', 'marketplace'), 0.05555555555555555)
(('clock', 'fountain'), 0.05555555555555555)
(('clock', 'marketplace'), 0.05555555555555555)
(('ice_cream', 'marketplace'), 0.05555555555555555)
(('marketplace', 'monastery'), 0.05555555555555555)
(('waste_basket', 'post_box'), 0.05511811023622047)
(('pharmacy', 'post_box'), 0.05504587155963303)
(('recycling', 'doctors'), 0.05460750853242321)
(('recycling', 'school'), 0.05460750853242321)
(('fast_food', 'recycling'), 0.05460750853242321)
(('bench', 'fountain'), 0.053385416666666664)
(('post_office', 'veterinary'), 0.05333333333333334)
(('library', 'post_office'), 0.05333333333333334)
(('marketplace', 'post_office'), 0.05333333333333334)
(('post_office', 'fountain'), 0.05333333333333334)
(('bicycle_rental', 'school'), 0.05327868852459016)
(('pub', 'bicycle_rental'), 0.05309734513274336)
(('bicycle_rental', 'bureau_de_change'), 0.05309734513274336)
(('bicycle_rental', 'university'), 0.05309734513274336)
(('cafe', 'university'), 0.05303030303030303)
(('arts_centre', 'cafe'), 0.05303030303030303)
(('parking', 'place_of_worship'), 0.05284888521882741)
(('fuel', 'atm'), 0.052830188679245285)
(('atm', 'pub'), 0.052830188679245285)
(('bicycle_repair_station', 'ice_cream'), 0.05263157894736842)
(('payment_terminal', 'veterinary'), 0.05263157894736842)
(('charging_station', 'bicycle_repair_station'), 0.05263157894736842)
(('bicycle_repair_station', 'telephone'), 0.05263157894736842)
(('clock', 'university'), 0.05263157894736842)
(('bicycle_repair_station', 'townhall'), 0.05263157894736842)
(('dentist', 'dentist'), 0.05263157894736842)
(('university', 'fountain'), 0.05263157894736842)
(('post_office', 'vending_machine'), 0.05235602094240838)
(('vending_machine', 'car_wash'), 0.05235602094240838)
(('vending_machine', 'library'), 0.05235602094240838)
(('fast_food', 'theatre'), 0.05228758169934641)
(('bank', 'marketplace'), 0.05194805194805195)
(('bank', 'public_building'), 0.05194805194805195)
(('parking_entrance', 'recycling'), 0.051194539249146756)
(('library', 'post_box'), 0.05084745762711865)
(('library', 'marketplace'), 0.05084745762711865)
(('police', 'library'), 0.05084745762711865)
(('library', 'fire_station'), 0.05084745762711865)
(('bench', 'bureau_de_change'), 0.05078125)
(('restaurant', 'townhall'), 0.05070422535211268)
(('waste_basket', 'parking'), 0.04987613542526837)
(('taxi', 'parking'), 0.04987613542526837)
(('waste_disposal', 'school'), 0.04962779156327544)
(('fast_food', 'waste_disposal'), 0.04962779156327544)
(('vending_machine', 'waste_disposal'), 0.04962779156327544)
(('bench', 'parking_space'), 0.049479166666666664)
(('restaurant', 'school'), 0.04918032786885246)
